	CFP	CHA	CON	FCP	FHM	LCN	LM1	LM2	LM3	MC1	MC2	MC3	OSF	PET	POC	SCI	SEL	SU1	TUN	WEN
CFP	0.000																			
CHA	0.896	0.000																		
CON	0.778	0.421	0.000																	
FCP	0.597	0.933	0.815	0.000																
FHM	0.487	0.619	0.323	0.522	0.000															
LCN	0.568	0.943	1.230	1.018	0.974	0.000														
LM1	0.210	0.690	0.546	0.471	0.154	0.545	0.000													
LM2	0.326	0.434	0.286	0.007	0.066	0.884	0.003	0.000												
LM3	0.242	0.991	0.759	0.866	0.399	0.748	0.118	0.478	0.000											
MC1	0.410	0.560	0.363	0.493	0.214	0.904	0.218	0.074	0.217	0.000										
MC2	0.371	0.948	0.702	0.612	0.326	0.743	0.172	0.157	0.284	0.201	0.000									
MC3	0.399	1.007	0.890	0.537	0.572	0.821	0.254	0.032	0.900	0.579	0.343	0.000								
OSF	0.624	0.528	0.443	0.719	0.304	0.862	0.337	0.248	0.401	0.129	0.305	0.693	0.000							
PET	0.619	1.022	0.798	0.708	0.536	1.092	0.554	0.277	0.827	0.539	0.569	0.491	0.546	0.000						
POC	0.584	0.656	0.473	0.692	0.534	1.133	0.549	0.249	0.778	0.451	0.590	0.612	0.533	0.555	0.000					
SCI	0.144	0.434	0.634	0.587	0.281	0.661	0.119	0.182	0.000	0.124	0.204	0.794	0.215	0.817	0.552	0.000				
SEL	0.277	0.817	0.516	0.453	0.343	0.596	0.065	0.000	0.138	0.247	0.310	0.101	0.284	0.494	0.602	0.134	0.000			
SU1	0.215	0.567	0.576	0.444	0.197	0.602	0.063	0.000	0.256	0.203	0.211	0.305	0.287	0.564	0.560	0.008	0.075	0.000		
TUN	0.634	0.924	0.593	0.725	0.416	0.661	0.243	0.268	0.472	0.613	0.472	0.398	0.298	0.640	0.839	0.418	0.122	0.263	0.000	
WEN	0.144	0.634	0.480	0.335	0.184	0.536	0.110	0.000	0.302	0.323	0.113	0.255	0.725	0.293	0.389	0.182	0.087	0.086	0.282	0.000
