Population              mean_N    mean_k    mean_He    p_sign_TPM    p_sign_SMM    p_W_1t_TPM    p_W_2t_TPM    p_W_1t_SMM    p_W_2t_SMM
BCB                (BCB) 13.56      2.33    0.43130      0.281820      0.309184      0.054688      0.109375      0.054688      0.109375 (BCB)
BCL                (BCL) 21.11      5.44    0.70333      0.428765      0.440838      0.212891      0.425781      0.326172      0.652344 (BCL)
BLU                (BLU) 15.56      3.11    0.53668      0.106272      0.124233      0.011719      0.023438      0.011719      0.023438 (BLU)
BSF                (BSF) 33.33      4.78    0.56199      0.504423      0.490288      0.578125      0.945313      0.628906      0.843750 (BSF)
BTH                (BTH) 47.11      6.00    0.68608      0.308613      0.297011      0.875000      0.300781      0.898438      0.250000 (BTH)
CAD                (CAD) 36.89      3.44    0.55933      0.436506      0.600923      0.212891      0.425781      0.248047      0.496094 (CAD)
CCC                (CCC) 20.89      4.78    0.64596      0.439163      0.383335      0.421875      0.843750      0.628906      0.843750 (CCC)
CHR                (CHR) 36.22      5.00    0.61559      0.268017      0.565953      0.191406      0.382813      0.273438      0.546875 (CHR)
CKW                (CKW) 22.44      4.44    0.55330      0.007834      0.005894      0.997070      0.009766      0.998047      0.005859 (CKW)
COL                (COL) 35.11      3.22    0.40845      0.113332      0.109280      0.945313      0.296875      0.945313      0.296875 (COL)
DRP                (DRP) 22.44      4.56    0.62925      0.425040      0.589766      0.101563      0.203125      0.179688      0.359375 (DRP)
EUT                (EUT) 53.78      6.33    0.66386      0.568946      0.570574      0.410156      0.820313      0.500000      1.000000 (EUT)
HOL                (HOL) 15.56      3.78    0.52536      0.217688      0.257516      0.125000      0.250000      0.156250      0.312500 (HOL)
HPC                (HPC) 23.33      3.44    0.48815      0.216955      0.208719      0.769531      0.546875      0.902344      0.250000 (HPC)
KAN                (KAN) 18.67      4.78    0.63289      0.454043      0.419122      0.527344      1.000000      0.527344      1.000000 (KAN)
LAW                (LAW) 20.22      3.11    0.41024      0.208750      0.212766      0.962891      0.195313      0.972656      0.074219 (LAW)
LCC                (LCC) 28.44      4.22    0.57316      0.548350      0.445459      0.421875      0.843750      0.527344      1.000000 (LCC)
LEE                (LEE) 23.11      6.00    0.72772      0.407991      0.420610      0.326172      0.652344      0.326172      0.652344 (LEE)
LIL                (LIL) 35.56      4.89    0.57758      0.461392      0.195629      0.726563      0.640625      0.875000      0.312500 (LIL)
LL2                (LL2) 12.89      4.22    0.62952      0.142347      0.134298      0.027344      0.054688      0.039063      0.078125 (LL2)
LL3                (LL3) 43.78      5.67    0.59200      0.100644      0.104609      0.593750      0.937500      0.710938      0.687500 (LL3)
MWR                (MWR) 24.67      4.22    0.45841      0.002275      0.002439      1.000000      0.007813      1.000000      0.007813 (MWR)
OFR                (OFR) 12.00      3.78    0.55409      0.581750      0.579485      0.343750      0.687500      0.343750      0.687500 (OFR)
PCB                (PCB) 26.67      3.22    0.40741      0.245124      0.074191      0.875000      0.312500      0.962891      0.195313 (PCB)
PWP                (PWP) 47.78      6.11    0.68395      0.299205      0.031522      0.787109      0.496094      0.935547      0.164063 (PWP)
RCA                (RCA) 28.44      5.44    0.66869      0.378207      0.366498      0.150391      0.300781      0.179688      0.359375 (RCA)
RL                  (RL) 14.67      4.78    0.69621      0.527083      0.520597      0.589844      0.910156      0.632813      0.820313 (RL)
SAL                (SAL) 25.78      4.78    0.63768      0.560123      0.539771      0.589844      0.910156      0.751953      0.570313 (SAL)
SFP                (SFP) 13.33      3.00    0.52106      0.269976      0.304348      0.632813      0.820313      0.632813      0.820313 (SFP)
SHO                (SHO) 27.56      5.44    0.58752      0.046230      0.055486      0.962891      0.195313      0.972656      0.074219 (SHO)
SUS                (SUS) 15.11      4.11    0.64714      0.423982      0.453006      0.455078      0.910156      0.455078      0.910156 (SUS)
TER                (TER) 32.89      4.56    0.59561      0.539530      0.455150      0.273438      0.546875      0.527344      1.000000 (TER)
WBF                (WBF) 37.33      5.78    0.63782      0.205164      0.212153      0.578125      0.945313      0.769531      0.546875 (WBF)
WES                (WES) 17.33      4.78    0.62722      0.054416      0.047515      0.902344      0.250000      0.962891      0.195313 (WES)
WSL                (WSL) 16.67      4.44    0.68979      0.057195      0.222113      0.064453      0.128906      0.082031      0.164063 (WSL)
FHM                (FHM) 10.00      3.22    0.60773      0.359972      0.576890      0.367188      0.734375      0.410156      0.820313 (FHM)
LM1                (LM1) 26.44      4.78    0.65696      0.431441      0.426339      0.150391      0.300781      0.212891      0.425781 (LM1)
MC1                (MC1) 13.33      3.67    0.57486      0.618200      0.605840      0.632813      0.820313      0.632813      0.820313 (MC1)
MC2                (MC2) 19.11      4.00    0.57140      0.296949      0.314045      0.751953      0.570313      0.787109      0.496094 (MC2)
PET                (PET) 34.89      3.67    0.50834      0.512686      0.513579      0.679688      0.742188      0.679688      0.742188 (PET)
SU1                (SU1) 21.78      4.33    0.58586      0.304931      0.283606      0.371094      0.742188      0.371094      0.742188 (SU1)
TUN                (TUN) 11.33      5.00    0.73829      0.603125      0.511390      0.285156      0.570313      0.410156      0.820313 (TUN)
								    Sign Test (SMM)    
